ID;description;duration;name;price;isActive
1241;"aenean fermentum donec ut mauris";53;"Operative intangible Graphical User Interface";42.71;1
1242;"etiam pretium iaculis justo in hac habitasse platea";53;"Multi-lateral maximied complexity";33.51;1
1243;"dolor quis odio consequat varius integer ac";18;"Switchable attitude-oriented synergy";51.41;1
1244;"eget massa tempor convallis nulla neque libero";21;"Adaptive 3rd generation pricing structure";22.11;1
1245;"orci eget orci vehicula condimentum curabitur in libero";35;"Advanced ero administration forecast";50.47;1
1246;"id ornare imperdiet sapien urna pretium nisl ut";10;"Future-proofed demand-driven collaboration";97.94;1
1247;"magnis dis parturient montes nascetur ridiculus mus etiam vel augue";49;"Programmable radical middleware";8.73;1
1248;"faucibus orci luctus et ultrices posuere cubilia curae";22;"Multi-lateral multi-state matrix";4.44;1
1249;"elit proin risus praesent lectus";31;"User-centric impactful knowledge user";45.67;1
1250;"elit proin risus praesent lectus vestibulum quam sapien";36;"Configurable 6th generation encoding";10.4;1
1251;"vel ipsum praesent blandit lacinia erat vestibulum sed magna";16;"User-centric ero administration portal";19.54;1
1252;"vel augue vestibulum ante ipsum primis";51;"Down-sied fresh-thinking project";23.34;1
1253;"in sagittis dui vel nisl duis ac";30;"Operative directional archive";36.79;1
1254;"consequat varius integer ac leo pellentesque ultrices";50;"Quality-focused intangible monitoring";66.68;1
1255;"sapien arcu sed augue aliquam";16;"Optional ero administration portal";39.04;1
1256;"condimentum neque sapien placerat ante nulla justo";45;"Versatile transitional array";14.95;1
1257;"non pretium quis lectus suspendisse potenti";20;"Inverse responsive toolset";40.19;1
1258;"turpis sed ante vivamus tortor duis mattis egestas";5;"Realigned responsive open system";96.07;1
1259;"erat quisque erat eros viverra eget congue eget";20;"Intuitive upward-trending website";27.6;1
1260;"congue etiam justo etiam pretium iaculis justo in";44;"Triple-buffered encompassing moratorium";83.96;1
1261;"id ornare imperdiet sapien urna pretium";30;"Extended analying hardware";79.81;1
1262;"elementum ligula vehicula consequat morbi a ipsum";49;"Cross-platform ero administration product";85.97;1
1263;"nullam varius nulla facilisi cras non velit nec nisi vulputate";27;"Re-contextualied non-volatile archive";6.09;1
1264;"lacus purus aliquet at feugiat non pretium quis lectus";17;"Robust clear-thinking system engine";48.33;1
1265;"nec dui luctus rutrum nulla tellus";5;"Synchronised dedicated complexity";80.47;1
1266;"ut ultrices vel augue vestibulum ante ipsum primis in";5;"Customiable 24 hour policy";34.64;1
1267;"magna ac consequat metus sapien ut nunc vestibulum";42;"Object-based well-modulated groupware";71.05;1
1268;"eros elementum pellentesque quisque porta volutpat erat quisque erat eros";50;"Decentralied client-driven capability";53.81;1
1269;"pellentesque viverra pede ac diam cras pellentesque volutpat dui";13;"Profit-focused upward-trending project";40.1;1
1270;"donec ut dolor morbi vel lectus in quam";7;"Adaptive high-level architecture";30.91;1
1271;"at nulla suspendisse potenti cras in purus eu magna";49;"Integrated asymmetric encryption";37.17;1
1272;"nam dui proin leo odio";46;"Managed actuating frame";59.12;1
1273;"curae nulla dapibus dolor vel est donec";7;"Optimied full-range forecast";72.57;1
1274;"faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus";12;"Reactive neutral artificial intelligence";86.61;1
1275;"id massa id nisl venenatis lacinia";42;"Networked composite policy";91.6;1
1276;"ut nulla sed accumsan felis ut";36;"Organic ero administration pricing structure";97.35;1
1277;"nec euismod scelerisque quam turpis adipiscing";24;"Enhanced motivating functionalities";15.1;1
1278;"id nulla ultrices aliquet maecenas";16;"Public-key eco-centric neural-net";56.89;1
1279;"rhoncus aliquam lacus morbi quis tortor id nulla";21;"Fundamental client-driven functionalities";75.41;1
1280;"nisi volutpat eleifend donec ut dolor morbi";27;"Upgradable leading edge frame";41.04;1
1281;"ut ultrices vel augue vestibulum ante ipsum primis";36;"User-centric 24 hour encryption";77.34;1
1282;"massa id lobortis convallis tortor risus dapibus augue";50;"Decentralied ero tolerance utilisation";50.33;1
1283;"sapien cursus vestibulum proin eu mi";29;"Devolved scalable architecture";41.12;1
1284;"sed interdum venenatis turpis enim blandit";49;"Digitied demand-driven leverage";47.68;1
1285;"consequat morbi a ipsum integer";4;"Ergonomic background productivity";89.67;1
1286;"ornare consequat lectus in est risus auctor sed tristique";5;"Persistent 24 hour synergy";30.43;1
1287;"volutpat sapien arcu sed augue aliquam erat";49;"Fundamental reciprocal data-warehouse";18.74;1
1288;"vivamus vel nulla eget eros";52;"Profound dynamic architecture";63.78;1
1289;"tempor convallis nulla neque libero convallis eget eleifend luctus ultricies";43;"Inverse mission-critical access";33.48;1
1290;"non mauris morbi non lectus aliquam";20;"Progressive well-modulated approach";94.15;1
1291;"vulputate luctus cum sociis natoque penatibus et";23;"Customiable dedicated local area network";65.83;1
1292;"duis at velit eu est congue elementum in";40;"Versatile content-based groupware";37.49;1
1293;"in hac habitasse platea dictumst aliquam";22;"Optimied dynamic access";11.95;1
1294;"vel augue vestibulum rutrum rutrum neque";21;"Adaptive system-worthy flexibility";41.33;1
1295;"sed justo pellentesque viverra pede ac diam cras";42;"Universal client-driven leverage";79.48;1
1296;"aliquet at feugiat non pretium quis lectus";10;"Programmable contextually-based attitude";45.39;1
1297;"phasellus sit amet erat nulla tempus";47;"Versatile dedicated customer loyalty";27.69;1
1298;"at turpis a pede posuere nonummy";8;"Upgradable national artificial intelligence";53.32;1
1299;"pharetra magna ac consequat metus sapien ut nunc vestibulum";47;"Organied homogeneous monitoring";13.31;1
1300;"nulla dapibus dolor vel est";48;"Decentralied composite methodology";81.2;1
1301;"faucibus orci luctus et ultrices posuere cubilia curae duis";22;"Enterprise-wide uniform approach";54.99;1
1302;"integer ac leo pellentesque ultrices mattis odio";11;"User-friendly fresh-thinking framework";97.43;1
1303;"sit amet sem fusce consequat nulla nisl nunc nisl";11;"Reactive foreground concept";60.39;1
1304;"curae nulla dapibus dolor vel est donec odio";34;"Vision-oriented tangible local area network";40.45;1
1305;"nam nulla integer pede justo lacinia eget tincidunt eget";44;"Versatile interactive standardiation";76.02;1
1306;"ipsum praesent blandit lacinia erat vestibulum sed magna at nunc";51;"Fully-configurable uniform artificial intelligence";62.16;1
1307;"vitae nisl aenean lectus pellentesque eget nunc donec";48;"Ergonomic even-keeled infrastructure";37.61;1
1308;"eros suspendisse accumsan tortor quis turpis sed";32;"Multi-tiered 5th generation knowledge user";33.81;1
1309;"rutrum nulla tellus in sagittis dui vel nisl";45;"Virtual mobile contingency";18.9;1
1310;"augue vestibulum ante ipsum primis";28;"Robust multi-state function";27.18;1
1311;"magna ac consequat metus sapien ut nunc vestibulum ante";44;"Monitored impactful synergy";42.08;1
1312;"non mi integer ac neque duis bibendum morbi";49;"Versatile motivating extranet";30.85;1
1313;"ipsum primis in faucibus orci";17;"Streamlined optimal database";84.83;1
1314;"congue risus semper porta volutpat quam pede lobortis";30;"Streamlined multimedia monitoring";40.27;1
1315;"dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum";30;"Profit-focused background hierarchy";40.81;1
1316;"ultrices aliquet maecenas leo odio condimentum";7;"Cross-platform 3rd generation architecture";54.39;1
1317;"habitasse platea dictumst morbi vestibulum velit id";42;"Public-key attitude-oriented toolset";90.89;1
1318;"sit amet turpis elementum ligula vehicula consequat";48;"Upgradable intermediate synergy";71.75;1
1319;"vehicula condimentum curabitur in libero ut";19;"Programmable ero tolerance Graphic Interface";43.01;1
1320;"erat tortor sollicitudin mi sit amet";13;"Phased tangible infrastructure";30.56;1
1321;"ac nibh fusce lacus purus aliquet";30;"Compatible discrete middleware";88.83;1
1322;"ridiculus mus etiam vel augue vestibulum rutrum";38;"Open-source real-time architecture";45.44;1
1323;"sed sagittis nam congue risus semper porta";8;"Horiontal leading edge secured line";88.21;1
1324;"mauris vulputate elementum nullam varius nulla facilisi cras non velit";22;"De-engineered attitude-oriented algorithm";85.89;1
1325;"enim blandit mi in porttitor pede justo";36;"Re-engineered human-resource protocol";85.46;1
1326;"semper est quam pharetra magna";8;"Future-proofed grid-enabled model";33.82;1
1327;"lectus pellentesque eget nunc donec quis orci eget orci";45;"Centralied value-added secured line";21.54;1
1328;"duis mattis egestas metus aenean fermentum donec";43;"Cross-platform empowering archive";23.3;1
1329;"mi integer ac neque duis bibendum morbi non quam";16;"Robust national access";87.35;1
1330;"sit amet nulla quisque arcu libero rutrum ac";39;"Devolved background array";34.47;1
1331;"dui vel nisl duis ac nibh fusce lacus purus aliquet";17;"Object-based next generation productivity";26.41;1
1332;"aenean fermentum donec ut mauris";27;"Vision-oriented systemic artificial intelligence";37.27;1
1333;"integer ac neque duis bibendum morbi non quam nec dui";16;"Optimied regional approach";98.0;1
1334;"donec posuere metus vitae ipsum aliquam";16;"Adaptive dynamic pricing structure";90.28;1
1335;"accumsan odio curabitur convallis duis consequat dui nec nisi";4;"Monitored high-level moratorium";81.04;1
1336;"convallis eget eleifend luctus ultricies eu";31;"Virtual directional capacity";3.16;1
1337;"sapien varius ut blandit non interdum";11;"Vision-oriented homogeneous encoding";21.31;1
1338;"suspendisse accumsan tortor quis turpis";17;"Total non-volatile orchestration";90.85;1
1339;"arcu sed augue aliquam erat";47;"Customiable solution-oriented Graphic Interface";31.96;1
1340;"duis consequat dui nec nisi volutpat eleifend donec ut dolor";17;"Operative contextually-based projection";52.4;1
1341;"porttitor lacus at turpis donec posuere metus vitae ipsum";10;"Quality-focused web-enabled moderator";98.27;1
1342;"augue quam sollicitudin vitae consectetuer eget rutrum at";41;"Devolved mobile budgetary management";7.47;1
1343;"sit amet erat nulla tempus vivamus in felis eu sapien";19;"Customer-focused tertiary concept";50.98;1
1344;"dis parturient montes nascetur ridiculus mus vivamus vestibulum";13;"Pre-emptive next generation support";19.29;1
1345;"sapien dignissim vestibulum vestibulum ante ipsum primis";53;"Devolved static analyer";28.25;1
1346;"volutpat sapien arcu sed augue aliquam erat volutpat in";24;"Devolved dynamic project";73.94;1
1347;"lobortis est phasellus sit amet erat nulla tempus";4;"Multi-lateral logistical hardware";5.94;1
1348;"non mauris morbi non lectus aliquam sit amet diam in";16;"Exclusive mobile knowledge user";4.88;1
1349;"sociis natoque penatibus et magnis dis";17;"Expanded uniform firmware";63.94;1
1350;"sit amet consectetuer adipiscing elit";23;"Organied interactive firmware";21.36;1
1351;"ultrices erat tortor sollicitudin mi sit amet";26;"Organic tangible portal";11.03;1
1352;"lectus vestibulum quam sapien varius ut blandit non";9;"Triple-buffered empowering forecast";16.7;1
1353;"dolor sit amet consectetuer adipiscing elit proin interdum mauris non";51;"Centralied multi-tasking architecture";52.15;1
1354;"nulla pede ullamcorper augue a suscipit nulla elit ac nulla";35;"Profit-focused 3rd generation parallelism";49.19;1
1355;"congue eget semper rutrum nulla";45;"Sharable clear-thinking complexity";5.8;1
1356;"quis turpis sed ante vivamus tortor duis mattis";31;"Sharable value-added internet solution";70.72;1
1357;"turpis enim blandit mi in porttitor pede justo eu";42;"Decentralied web-enabled internet solution";28.34;1
1358;"tempor turpis nec euismod scelerisque quam turpis";18;"Focused content-based model";20.32;1
1359;"lacinia erat vestibulum sed magna at";28;"Focused empowering conglomeration";53.39;1
1360;"lorem vitae mattis nibh ligula nec sem";51;"Realigned methodical array";15.85;1
1361;"augue aliquam erat volutpat in congue etiam justo etiam pretium";50;"User-centric exuding matrix";48.05;1
1362;"sapien varius ut blandit non";23;"Reactive empowering flexibility";89.04;1
1363;"metus aenean fermentum donec ut mauris eget massa tempor";32;"Advanced mission-critical contingency";16.97;1
1364;"pede lobortis ligula sit amet eleifend pede libero quis";16;"Front-line reciprocal monitoring";25.57;1
1365;"at velit vivamus vel nulla eget eros elementum pellentesque quisque";13;"Centralied methodical definition";81.19;1
1366;"justo morbi ut odio cras mi pede malesuada";51;"Synergistic background challenge";79.29;1
1367;"commodo placerat praesent blandit nam nulla integer pede justo lacinia";42;"Cross-group 24/7 moratorium";38.04;1
1368;"nisl aenean lectus pellentesque eget nunc donec quis orci eget";13;"Compatible impactful portal";36.69;1
1369;"iaculis justo in hac habitasse platea";23;"Team-oriented foreground open system";20.33;1
1370;"adipiscing lorem vitae mattis nibh ligula nec sem";28;"Programmable upward-trending paradigm";49.34;1
1371;"donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi";9;"Polarised exuding methodology";19.26;1
1372;"nisi eu orci mauris lacinia sapien";42;"Compatible client-server neural-net";11.46;1
1373;"cras in purus eu magna";4;"Universal empowering local area network";4.22;1
1374;"ultrices vel augue vestibulum ante ipsum primis in";5;"Synergistic reciprocal Graphic Interface";40.15;1
1375;"eu mi nulla ac enim";10;"Inverse multimedia adapter";61.79;1
1376;"justo eu massa donec dapibus";26;"Cross-group context-sensitive ability";6.65;1
1377;"massa quis augue luctus tincidunt nulla mollis molestie lorem quisque";49;"Synchronised 4th generation data-warehouse";93.64;1
1378;"congue diam id ornare imperdiet sapien urna pretium nisl ut";14;"Seamless demand-driven firmware";4.01;1
1379;"id massa id nisl venenatis lacinia";9;"Re-engineered 5th generation throughput";14.47;1
1380;"ac neque duis bibendum morbi non quam nec";24;"Front-line clear-thinking productivity";72.58;1
1381;"odio in hac habitasse platea dictumst maecenas ut";10;"Future-proofed modular structure";15.39;1
1382;"tincidunt nulla mollis molestie lorem quisque ut";52;"Fundamental intangible encryption";33.41;1
1383;"orci luctus et ultrices posuere cubilia curae nulla";24;"Digitied 6th generation utilisation";37.05;1
1384;"aliquet pulvinar sed nisl nunc rhoncus dui";46;"Distributed didactic challenge";26.0;1
1385;"ornare consequat lectus in est risus auctor sed tristique in";12;"Synchronised demand-driven capacity";75.36;1
1386;"vehicula condimentum curabitur in libero ut massa volutpat";45;"Cloned discrete toolset";54.19;1
1387;"convallis duis consequat dui nec nisi volutpat eleifend donec";25;"Business-focused maximied support";79.37;1
1388;"odio condimentum id luctus nec molestie";35;"Centralied incremental moratorium";12.89;1
1389;"in porttitor pede justo eu massa donec";49;"Organied uniform projection";30.69;1
1390;"condimentum id luctus nec molestie sed justo pellentesque viverra";45;"Profound stable adapter";36.71;1
1391;"interdum venenatis turpis enim blandit mi in porttitor pede justo";35;"Enhanced disintermediate knowledge base";32.75;1
1392;"ut blandit non interdum in ante vestibulum ante";49;"Function-based high-level product";49.76;1
1393;"lacinia eget tincidunt eget tempus vel pede morbi porttitor lorem";33;"Front-line didactic service-desk";17.06;1
1394;"non mauris morbi non lectus aliquam sit amet diam";14;"Progressive bi-directional paradigm";35.78;1
1395;"ultrices phasellus id sapien in sapien";22;"Public-key intermediate neural-net";90.87;1
1396;"a libero nam dui proin leo odio porttitor id consequat";53;"Re-contextualied background capability";60.18;1
1397;"sit amet sem fusce consequat nulla nisl nunc nisl";18;"Multi-lateral next generation core";24.56;1
1398;"commodo vulputate justo in blandit ultrices enim";45;"Cross-platform tertiary toolset";20.31;1
1399;"turpis enim blandit mi in porttitor";30;"Function-based client-server toolset";56.11;1
1400;"orci luctus et ultrices posuere cubilia curae nulla dapibus dolor";34;"Mandatory empowering archive";83.47;1
1401;"vivamus in felis eu sapien cursus vestibulum proin eu mi";8;"Synergistic coherent installation";86.73;1
1402;"erat eros viverra eget congue";33;"Streamlined fresh-thinking collaboration";55.08;1
1403;"donec semper sapien a libero nam dui";11;"Face to face 24 hour process improvement";14.17;1
1404;"et commodo vulputate justo in";44;"Programmable logistical hierarchy";91.47;1
1405;"urna pretium nisl ut volutpat sapien arcu sed augue";26;"Multi-lateral methodical system engine";98.4;1
1406;"metus sapien ut nunc vestibulum ante";17;"Customer-focused asymmetric artificial intelligence";84.88;1
1407;"lacus at turpis donec posuere metus vitae";20;"Advanced analying toolset";16.76;1
1408;"vulputate nonummy maecenas tincidunt lacus at velit vivamus vel";30;"Quality-focused well-modulated algorithm";72.5;1
1409;"elit ac nulla sed vel";29;"Diverse fault-tolerant customer loyalty";83.34;1
1410;"nibh in lectus pellentesque at nulla suspendisse potenti cras";8;"Re-engineered well-modulated task-force";56.41;1
1411;"pede libero quis orci nullam molestie nibh in";12;"Intuitive discrete approach";41.52;1
1412;"porta volutpat quam pede lobortis ligula";48;"User-friendly fault-tolerant architecture";79.9;1
1413;"diam id ornare imperdiet sapien urna";4;"Ergonomic optimiing initiative";1.7;1
1414;"curabitur at ipsum ac tellus semper interdum mauris ullamcorper";53;"Versatile leading edge website";14.77;1
1415;"ultrices posuere cubilia curae nulla";40;"Extended multi-state budgetary management";60.21;1
1416;"eleifend donec ut dolor morbi";31;"Exclusive grid-enabled groupware";70.76;1
1417;"habitasse platea dictumst morbi vestibulum velit id pretium";12;"Fully-configurable empowering capacity";46.66;1
1418;"magna bibendum imperdiet nullam orci pede";46;"Diverse clear-thinking open system";66.33;1
1419;"suspendisse potenti cras in purus eu magna vulputate luctus";41;"Centralied transitional strategy";76.86;1
1420;"sit amet eleifend pede libero quis orci nullam";4;"Front-line context-sensitive open architecture";17.02;1
1421;"nullam varius nulla facilisi cras non";7;"Focused methodical synergy";96.88;1
1422;"potenti in eleifend quam a";27;"Enhanced composite ability";30.5;1
1423;"vestibulum ante ipsum primis in faucibus orci luctus et ultrices";8;"Upgradable tangible moderator";38.62;1
1424;"dolor vel est donec odio";4;"Profound analying encoding";38.63;1
1425;"maecenas ut massa quis augue luctus";14;"Organic exuding benchmark";15.72;1
1426;"lorem ipsum dolor sit amet consectetuer adipiscing elit proin risus";22;"Extended upward-trending moratorium";56.96;1
1427;"lacus at velit vivamus vel nulla";35;"Vision-oriented composite collaboration";71.94;1
1428;"donec ut dolor morbi vel lectus";15;"Enterprise-wide client-driven access";76.82;1
1429;"quam a odio in hac habitasse platea dictumst maecenas";9;"Function-based asymmetric forecast";59.85;1
1430;"tellus nisi eu orci mauris lacinia sapien quis libero";20;"Reduced didactic neural-net";22.13;1
1431;"sit amet diam in magna bibendum imperdiet nullam";37;"Sharable leading edge capacity";64.6;1
1432;"cursus urna ut tellus nulla ut";5;"Enterprise-wide static collaboration";82.13;1
1433;"amet diam in magna bibendum imperdiet nullam orci pede venenatis";52;"Streamlined homogeneous array";36.17;1
1434;"nibh quisque id justo sit amet sapien dignissim";28;"Multi-channelled bottom-line capacity";98.23;1
1435;"ut at dolor quis odio";4;"Seamless non-volatile collaboration";41.49;1
1436;"sit amet erat nulla tempus vivamus in felis";11;"Operative intangible functionalities";92.17;1
1437;"amet sem fusce consequat nulla nisl nunc nisl duis bibendum";40;"Optimied coherent neural-net";33.21;1
1438;"potenti nullam porttitor lacus at turpis";38;"Front-line needs-based matrices";60.21;1
1439;"morbi a ipsum integer a nibh in quis justo";11;"Down-sied bi-directional approach";99.74;1
1440;"potenti in eleifend quam a odio in hac";24;"Reverse-engineered system-worthy productivity";60.0;1
1441;"dui nec nisi volutpat eleifend donec";29;"Decentralied impactful definition";20.06;1
1442;"augue vestibulum rutrum rutrum neque aenean auctor gravida";22;"Fully-configurable tangible frame";88.89;1
1443;"amet consectetuer adipiscing elit proin interdum mauris non ligula";41;"Networked eco-centric synergy";37.74;1
1444;"donec vitae nisi nam ultrices libero non mattis pulvinar nulla";19;"Object-based coherent infrastructure";98.82;1
1445;"sed sagittis nam congue risus semper porta";31;"Managed client-driven capacity";49.85;1
1446;"vestibulum ante ipsum primis in faucibus orci luctus et";14;"Right-sied solution-oriented challenge";48.38;1
1447;"eu interdum eu tincidunt in leo maecenas pulvinar lobortis";34;"Ameliorated mobile internet solution";49.22;1
1448;"risus dapibus augue vel accumsan";8;"Synergied multi-tasking model";68.81;1
1449;"consequat morbi a ipsum integer a";45;"Upgradable client-server time-frame";20.33;1
1450;"mus vivamus vestibulum sagittis sapien cum sociis natoque";33;"Stand-alone client-server intranet";14.8;1
1451;"erat id mauris vulputate elementum";10;"Phased eco-centric parallelism";80.78;1
1452;"lobortis vel dapibus at diam nam tristique";44;"Open-source disintermediate secured line";76.32;1
1453;"in faucibus orci luctus et ultrices";31;"Enterprise-wide real-time superstructure";57.1;1
1454;"in blandit ultrices enim lorem ipsum dolor sit amet";21;"Cloned maximied parallelism";60.45;1
1455;"et ultrices posuere cubilia curae duis";41;"Grass-roots incremental Graphical User Interface";41.74;1
1456;"sit amet nulla quisque arcu libero rutrum";13;"Diverse optimal neural-net";63.46;1
1457;"ipsum ac tellus semper interdum mauris ullamcorper purus";4;"Upgradable tertiary conglomeration";73.5;1
1458;"ante ipsum primis in faucibus orci luctus et";13;"Visionary incremental hardware";27.71;1
1459;"imperdiet sapien urna pretium nisl ut volutpat sapien arcu";45;"Balanced secondary Graphical User Interface";62.58;1
1460;"aenean sit amet justo morbi ut";52;"Face to face client-server architecture";36.22;1
1461;"integer pede justo lacinia eget tincidunt eget tempus vel";48;"Assimilated 5th generation moderator";76.17;1
1462;"id pretium iaculis diam erat fermentum justo nec condimentum neque";6;"Managed tertiary monitoring";89.05;1
1463;"morbi non quam nec dui luctus rutrum nulla tellus in";46;"Enterprise-wide needs-based process improvement";79.5;1
1464;"tellus nulla ut erat id mauris";26;"Open-architected systemic toolset";83.89;1
1465;"pretium nisl ut volutpat sapien";45;"Distributed motivating middleware";12.08;1
1466;"nibh fusce lacus purus aliquet";18;"De-engineered ero tolerance extranet";4.61;1
1467;"odio in hac habitasse platea dictumst maecenas ut massa quis";23;"Exclusive disintermediate budgetary management";96.99;1
1468;"nunc commodo placerat praesent blandit nam nulla integer pede justo";17;"Phased actuating implementation";92.62;1
1469;"morbi non quam nec dui luctus rutrum nulla tellus in";32;"Multi-channelled bottom-line pricing structure";84.81;1
1470;"hac habitasse platea dictumst morbi vestibulum velit id pretium";8;"Diverse coherent system engine";70.11;1
1471;"ut volutpat sapien arcu sed augue aliquam erat";15;"Profit-focused ero administration middleware";62.32;1
1472;"montes nascetur ridiculus mus vivamus vestibulum sagittis sapien";14;"Intuitive systemic hardware";56.32;1
1473;"donec dapibus duis at velit eu est congue";43;"Universal client-driven Graphical User Interface";14.3;1
1474;"eu mi nulla ac enim in";38;"Up-sied demand-driven concept";97.52;1
1475;"penatibus et magnis dis parturient";32;"Assimilated dynamic knowledge base";28.19;1
1476;"ut massa volutpat convallis morbi odio odio elementum eu";6;"Team-oriented object-oriented moratorium";53.75;1
1477;"mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc";27;"Balanced static help-desk";7.38;1
1478;"rhoncus aliquet pulvinar sed nisl nunc rhoncus dui";11;"Enterprise-wide multi-state interface";23.78;1
1479;"hac habitasse platea dictumst morbi vestibulum";41;"Persevering bottom-line challenge";54.24;1
1480;"lacinia nisi venenatis tristique fusce congue diam id";42;"Re-engineered explicit archive";88.03;1
1481;"libero non mattis pulvinar nulla";29;"Self-enabling value-added matrices";40.85;1
1482;"curae mauris viverra diam vitae quam";13;"Cross-platform optimiing capacity";93.02;1
1483;"odio curabitur convallis duis consequat";20;"Versatile multi-state application";94.94;1
1484;"vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla";29;"Triple-buffered directional info-mediaries";34.76;1
1485;"cras non velit nec nisi";36;"Distributed dedicated workforce";7.12;1
1486;"duis bibendum felis sed interdum venenatis turpis enim blandit";49;"Versatile bi-directional hub";88.51;1
1487;"ac diam cras pellentesque volutpat dui maecenas tristique";39;"Robust fresh-thinking hardware";61.59;1
1488;"tincidunt nulla mollis molestie lorem quisque ut";38;"Distributed stable architecture";32.64;1
1489;"lobortis ligula sit amet eleifend pede libero quis orci nullam";14;"Total context-sensitive projection";49.7;1
1490;"libero ut massa volutpat convallis morbi";9;"Operative solution-oriented benchmark";86.42;1
1491;"ac diam cras pellentesque volutpat dui maecenas tristique";18;"Function-based 3rd generation customer loyalty";95.64;1
1492;"rutrum nulla nunc purus phasellus in felis donec";44;"Right-sied executive implementation";74.98;1
1493;"duis aliquam convallis nunc proin at turpis a pede";12;"Stand-alone homogeneous toolset";52.45;1
1494;"montes nascetur ridiculus mus etiam";6;"Realigned eco-centric synergy";26.48;1
1495;"sed sagittis nam congue risus semper porta";10;"Multi-tiered local firmware";98.68;1
1496;"habitasse platea dictumst etiam faucibus cursus";41;"Versatile stable parallelism";4.98;1
1497;"vel accumsan tellus nisi eu orci";32;"Switchable full-range projection";53.04;1
1498;"felis donec semper sapien a";29;"Automated heuristic flexibility";33.52;1
1499;"morbi a ipsum integer a";8;"Universal secondary hub";88.49;1
1500;"in tempor turpis nec euismod";38;"Programmable 3rd generation ability";73.3;1
1501;"dui vel nisl duis ac nibh fusce";41;"Versatile discrete internet solution";40.99;1
1502;"nulla ut erat id mauris vulputate elementum";7;"Business-focused 4th generation knowledge base";53.45;1
1503;"nunc vestibulum ante ipsum primis in";23;"Cross-group hybrid groupware";14.84;1
1504;"sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc";4;"Innovative mission-critical firmware";43.88;1
1505;"sit amet lobortis sapien sapien non mi integer ac neque";35;"Implemented ero administration neural-net";77.73;1
1506;"curae duis faucibus accumsan odio curabitur";36;"Fundamental tertiary infrastructure";61.8;1
1507;"magna bibendum imperdiet nullam orci pede venenatis";7;"Polarised explicit infrastructure";78.62;1
1508;"tristique fusce congue diam id ornare imperdiet sapien";37;"Function-based fresh-thinking definition";41.94;1
1509;"ac tellus semper interdum mauris";34;"Self-enabling system-worthy functionalities";96.5;1
1510;"augue vel accumsan tellus nisi eu";13;"User-friendly bifurcated emulation";15.01;1
1511;"magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit";10;"Polarised asymmetric database";20.28;1
1512;"eu massa donec dapibus duis at velit eu";35;"Synergistic heuristic forecast";4.91;1
1513;"ligula nec sem duis aliquam convallis nunc proin at";41;"Persevering analying hub";34.05;1
1514;"sagittis dui vel nisl duis";22;"Integrated systematic support";35.21;1
1515;"rhoncus dui vel sem sed sagittis nam";30;"Profound leading edge extranet";81.97;1
1516;"sit amet eros suspendisse accumsan tortor";28;"Networked high-level capability";87.33;1
1517;"sapien a libero nam dui proin";38;"Ameliorated global framework";35.27;1
1518;"aenean lectus pellentesque eget nunc donec quis orci";7;"Virtual intangible project";16.47;1
1519;"velit donec diam neque vestibulum eget vulputate ut ultrices vel";48;"Open-source multi-tasking access";66.13;1
1520;"vel pede morbi porttitor lorem id ligula";34;"Intuitive multimedia monitoring";13.97;1
1521;"integer ac leo pellentesque ultrices mattis";14;"Operative tertiary installation";71.77;1
1522;"pellentesque viverra pede ac diam";6;"Ameliorated local portal";86.94;1
1523;"sed accumsan felis ut at dolor";37;"Programmable explicit complexity";46.91;1
1524;"eu massa donec dapibus duis at";22;"Cross-platform directional internet solution";18.73;1
1525;"tempor convallis nulla neque libero convallis";44;"Re-engineered user-facing secured line";90.92;1
1526;"praesent lectus vestibulum quam sapien varius ut";27;"Configurable empowering projection";88.76;1
1527;"ac nulla sed vel enim sit amet nunc";19;"Object-based systematic functionalities";11.29;1
1528;"sem duis aliquam convallis nunc proin at turpis a";9;"User-friendly uniform frame";63.51;1
1529;"auctor sed tristique in tempus sit amet sem fusce";52;"Automated multimedia middleware";7.88;1
1530;"pellentesque eget nunc donec quis orci eget orci vehicula condimentum";25;"De-engineered didactic framework";86.55;1
1531;"lectus in est risus auctor sed tristique";5;"Integrated national strategy";64.8;1
1532;"commodo vulputate justo in blandit";34;"Virtual non-volatile approach";83.04;1
1533;"sodales scelerisque mauris sit amet eros suspendisse";8;"Exclusive client-driven customer loyalty";88.25;1
1534;"nulla ultrices aliquet maecenas leo odio condimentum id luctus nec";49;"Upgradable hybrid support";13.72;1
1535;"mauris sit amet eros suspendisse accumsan tortor quis turpis sed";26;"User-centric uniform model";7.12;1
1536;"semper est quam pharetra magna ac consequat";27;"Networked transitional hub";89.14;1
1537;"vehicula condimentum curabitur in libero";25;"Profound maximied infrastructure";25.44;1
1538;"vulputate luctus cum sociis natoque penatibus et magnis dis parturient";28;"Inverse homogeneous info-mediaries";82.02;1
1539;"iaculis diam erat fermentum justo nec condimentum";39;"Secured systematic groupware";29.17;1
